Name	Value
URBAN SMALL	Flash Flood
URBAN/SMALL STREAM	Flash Flood
URBAN/SMALL STREAM FLOOD	Flash Flood
VOLCANIC ASH	Volcanic Ash
WATERSPOUT-	Waterspout
WATERSPOUT-TORNADO	Waterspout
WATERSPOUT/ TORNADO	Waterspout
WET MICROBURST	Thunderstorm Wind
WILD/FOREST FIRES	Wild
WILDFIRES	Wildfire
WIND AND WAVE	High Wind
WIND DAMAGE	High Wind
WIND/HAIL	High Wind
